#-------------------------------------------
# Food Diary Report - Detailed Report,"Monday, April 1, 2024","Tuesday, April 30, 2024"
#-------------------------------------------

#-------------------------------------------
# Period Summary
#-------------------------------------------
Daily Average,Cals ( kcal),Fat( g),Carbs( g),Prot( g)
Total,2043,65.92,238.03,127.03
Breakfast,595,17.61,71.78,38.32
Lunch,754,18.48,104.15,43.6
Dinner,518,17.96,50.62,38.32
Snacks/Other,176,11.87,11.48,6.8

#-------------------------------------------
# Report Details
#-------------------------------------------
Date,Cals ( kcal),Fat( g),Sat( g),Carbs( g),Fibre( g),Sugar( g),Prot( g),Sod( mg),Chol( mg),Potassium( mg)
  Coop Cioccolato Fondente Extra,52,3.05,,5.2,0.8,4.85,0.6,,,
"   1/2 x 1 quadratino, 10 g"
  Fiorentini Bio Crusca di Avena,110,2.28,0.39,15.33,4.32,0.6,4.71,1.5,,
   30 g
  Danone Hipro Cocco,93,0.64,0.64,5.76,,5.28,15.52,57.6,,
   160 g
  Esselunga Banana,74,0.27,0.09,18.96,2.16,10.15,0.9,0.83,0,297.14
   83 g
  Alesto Noci,36,3.46,0.34,0.18,0.34,0.15,0.78,0,,22.05
   5 g
  Lidl Mandorle,31,2.66,0.22,0.24,0.6,0.24,1.22,0.2,,
   5 g
  Ventura Datteri al Naturale,66,0.16,0,16.41,2.26,16.41,0.7,1.3,,
   26 g
  Optimum Nutrition Mass Gainer,187,0.72,0.3,37.67,0.42,3.29,7.48,72.36,,
   50 g
  Parmalat  Latte Parzialmente Scremato,92,3.2,2,9.8,0,9.8,6.6,104,,
   200 ml
 Lunch,,,,,,,,,,
 Dinner,,,,,,,,,,
 Snacks/Other,,,,,,,,,,

"Monday, April 22, 2024",2305,72.34,23.116,271.3,23.54,86.64,140.57,1898.2,886,1798
 Breakfast,488,19.74,6.548,44.24,3.3,15.03,33.13,743,708,635
  Banana,80,0.3,0.101,20.56,2.3,11.01,0.98,1,0,322
   90 g
  Cottage Cheese,55,1.59,1.009,1.65,0,0.97,8.14,231,6,50
   63 g
  White Bread ,109,1.35,0.294,20.75,1,1.77,3.13,279,0,41
   41 g
  Egg,244,16.5,5.144,1.28,0,1.28,20.88,232,702,222
   166 g
 Lunch,931,8.93,3.747,180.16,9.75,36.92,33.44,233,13,331
  Parmesan Cheese (Grated) ,65,4.29,2.595,0.61,0,0.14,5.77,229,13,19
   15 g
  Mango,130,0.54,0.132,34,3.6,29.6,1.02,4,0,312
   200 g
  Barilla Spaghetti N.5,736,4.1,1.02,145.55,6.15,7.18,26.65,0,,
   205 g
 Dinner,496,15.59,4.364,28.59,3.2,23.45,59.15,789,165,694
  Apple,70,0.23,0.038,18.51,3.2,13.92,0.35,1,0,143
   134 g
  Chicken Breast,388,15.36,4.322,0,0,0,58.8,782,165,484
   199 g
  Sweetened Beverage Made From Dried Green Leaves Mate,38,0,0.004,10.08,0,9.53,0,6,0,67
   190 ml
 Snacks/Other,390,28.08,8.457,18.31,7.29,11.24,14.85,133.2,0,138
  Novi Fondentenero 72%,94,7.36,4.48,5.12,0,4.32,1.28,0,0,0
   16 g
  Nature Valley Protein Peanut & Chocolate,186,11.1,3.24,9.44,5.09,6.01,9.53,133.2,,
   37 g
  Almonds ,110,9.62,0.737,3.75,2.2,0.91,4.04,0,0,138
   19 g

"Tuesday, April 23, 2024",2488,69.98,28.876,334,27.59,56.86,133.97,2349.13,773.22,932
 Breakfast,508,19.24,6.32,50.25,3.4,14.1,32.85,844,665,593
  Egg,229,15.51,4.834,1.2,0,1.2,19.62,218,660,209
   156 g
  Banana,69,0.25,0.086,17.59,2,9.42,0.84,1,0,276
   77 g
  Cottage Cheese,53,1.54,0.977,1.6,0,0.94,7.88,223,5,49
   61 g
  White Bread,157,1.94,0.423,29.86,1.4,2.54,4.51,402,0,59
   59 g
 Lunch,996,17.29,9.41,170.79,9.05,16.87,37.16,575.26,38.83,202
  Kraft 100% Parmesan Grated Cheese,54,3.79,2.71,0,0,0,4.33,238.26,10.83,
   13 g
  Strawberries ,42,0.4,0.02,10.14,2.6,6.15,0.88,1,0,202
   132 g
  Compliments Alfredo Sauce,128,8.8,5.6,8,0,3.2,4,336,28,
   100 ml
  Barilla Spaghetti N.5,772,4.3,1.08,152.65,6.45,7.52,27.95,0,,
   215 g
 Dinner,704,14.63,5.886,95.52,13.14,13.3,51.6,749.87,69.39,137
  Ocean's Thon Pâle Émietté,127,1.05,0.42,0,0,0,29.53,379.62,52.72,
   116 g
  Kraft 100% Parmesan Grated Cheese,83,5.83,4.17,0,0,0,6.67,366.74,16.67,
   20 g
  Apples ,67,0.22,0.036,17.68,3.1,13.3,0.33,1,0,137
   128 g
  Quaker Steel Cut Oats (45g),427,7.53,1.26,77.84,10.04,0,15.07,2.51,0,
   113 g
 Snacks/Other,280,18.82,7.26,17.44,2,12.59,12.36,180,0,0
  Novi Fondentenero 72%,100,7.82,4.76,5.44,0,4.59,1.36,0,0,0
   17 g
"  Val Nature Proteines Saveur Arachides, Amandes et Chocolat Noir",180,11,2.5,12,2,8,11,180,0,
   1 barre (37 g)

"Wednesday, April 24, 2024",2440,105.96,41.911,225.14,38.41,63.66,155.75,3089.34,881.95,1911
 Breakfast,502,17.94,5.569,52.25,3.84,16.45,33.35,731.9,660.4,572
  Egg,228,15.41,4.803,1.19,0,1.19,19.5,217,656,208
   155 g
  Wonder Classic Soft White Bread,157,1.84,0.46,30.39,1.84,2.76,5.53,276.3,0,0
   58 g
  Banana,69,0.25,0.086,17.59,2,9.42,0.84,1,0,276
   77 g
  Dairyland 1% Cottage Cheese,48,0.44,0.22,3.08,0,3.08,7.48,237.6,4.4,88
   55 g
 Lunch,663,15.05,4.289,87.49,15.98,21.86,49.94,912.32,54.51,730
  Nature Valley Protein Peanut Butter & Dark Chocolate,180,11,3.5,14,2,8,9,170,0,
   1 bar (37 g)
  Great Value Flaked Light Skipjack Tuna,109,0.73,0.36,0,0,0,27.26,290.72,54.51,
   109 ml
  Great Value Chick Peas,197,2.82,0.38,31.96,6.58,0.94,10.34,366.6,,
   235 g
  Sweet Potato ,132,0.08,0.028,30.78,4.6,6.4,2.4,84,0,516
   153 g
  Strawberries ,45,0.42,0.021,10.75,2.8,6.52,0.94,1,0,214
   140 g
 Dinner,1222,68.83,29.533,82.52,18.59,22.92,71.74,1445.12,167.04,609
  Great Value Italian Style Beef Meatballs ,877,66.82,29.23,12.53,0,0,58.46,1169.28,167.04,
   355 g
  Great Value Chick Peas,96,1.37,0.18,15.5,3.19,0.46,5.02,177.84,,
   114 g
  Apples ,69,0.22,0.037,18.23,3.2,13.71,0.34,1,0,141
   132 g
"  Mixed Vegetables (Without Salt, Frozen, Drained, Cooked, Boiled) ",180,0.42,0.086,36.26,12.2,8.75,7.92,97,0,468
   277 g
 Snacks/Other,53,4.14,2.52,2.88,0,2.43,0.72,0,0,0
  Novi Fondentenero 72%,53,4.14,2.52,2.88,0,2.43,0.72,0,0,0
   9 g

"Thursday, April 25, 2024",2079,52.25,17.632,301.31,35.1,67.75,109.28,1959.36,783.03,1600
 Breakfast,521,18.95,5.893,52.76,3.91,17.13,35.22,762.7,702.8,603
  Wonder Classic Soft White Bread,154,1.81,0.45,29.86,1.81,2.72,5.43,271.5,0,0
   57 g
  Dairyland 1% Cottage Cheese,53,0.48,0.24,3.36,0,3.36,8.16,259.2,4.8,96
   60 g
  Egg,243,16.4,5.113,1.27,0,1.27,20.76,231,698,221
   165 g
  Banana,71,0.26,0.09,18.27,2.1,9.78,0.87,1,0,286
   80 g
 Lunch,936,11.32,5.249,176.27,10.99,22.24,36.52,459.26,20.83,151
  Kraft 100% Parmesan Grated Cheese,104,7.29,5.21,0,0,0,8.33,458.26,20.83,
   25 g
  Apples ,73,0.24,0.039,19.47,3.4,14.65,0.37,1,0,151
   141 g
  De Cecco Spaghetti,759,3.79,0,156.8,7.59,7.59,27.82,0,0,
   215 g
 Dinner,337,2.28,0.121,53.62,17.1,17.52,25.91,567.4,59.4,780
  Strawberries ,52,0.49,0.024,12.52,3.3,7.6,1.09,2,0,249
   163 g
"  Mixed Vegetables (Without Salt, Frozen, Drained, Cooked, Boiled)",204,0.47,0.097,41.1,13.8,9.92,8.98,110,0,531
   314 g
  Anchor's Bay Basa Fillet,81,1.32,,0,,,15.84,455.4,59.4,
   132 g
 Snacks/Other,285,19.7,6.369,18.66,3.1,10.86,11.63,170,0,66
  Almonds,52,4.56,0.349,1.78,1.1,0.43,1.91,0,0,66
   9 g
  Novi Fondentenero 72%,53,4.14,2.52,2.88,0,2.43,0.72,0,0,0
   9 g
  Nature Valley Protein Peanut Butter & Dark Chocolate,180,11,3.5,14,2,8,9,170,0,
   1 bar (37 g)

"Friday, April 26, 2024",2557,77.94,25.336,351.05,26.07,60.85,120.39,3526.94,756.87,1323
 Breakfast,528,18.7,5.78,52.65,3.4,17.63,36.28,965.6,683.4,676
  Egg,235,15.9,4.958,1.23,0,1.23,20.13,224,677,214
   160 g
  Dairyland 1% Cottage Cheese,70,0.64,0.32,4.48,0,4.48,10.88,345.6,6.4,128
   80 g
  Banana,69,0.25,0.086,17.59,2,9.42,0.84,1,0,276
   77 g
  White Bread,154,1.91,0.416,29.35,1.4,2.5,4.43,395,0,58
   58 g
 Lunch,1101,17.33,8.687,199.72,11.67,24.74,41.27,636.54,39.07,141
  Compliments Alfredo Sauce,102,7.04,4.48,6.4,0,2.56,3.2,268.8,22.4,
   80 ml
  Kraft 100% Parmesan Grated Cheese,83,5.83,4.17,0,0,0,6.67,366.74,16.67,
   20 g
  Apples,69,0.22,0.037,18.23,3.2,13.71,0.34,1,0,141
   132 g
  De Cecco Spaghetti,847,4.24,0,175.09,8.47,8.47,31.06,0,0,
   240 g
 Dinner,556,14.94,2.229,76.2,7,5.34,28.95,1754.8,34.4,382
  Your Fresh Market Roasted Garlic Hummus,140,10,1,10,4,0,4,240,0,
   2 x 2 tbsp (60 g)
  Your Fresh Market Oven Roasted Chicken Breast,86,0.86,0.34,3.44,0,0,15.48,670.8,34.4,258
   86 g
  White Bread,330,4.08,0.889,62.76,3,5.34,9.47,844,0,124
   124 g
 Snacks/Other,372,26.97,8.64,22.48,4,13.14,13.89,170,0,124
  Novi Fondentenero 72%,94,7.36,4.48,5.12,0,4.32,1.28,0,0,0
   16 g
  Nature Valley Protein Peanut Butter & Dark Chocolate,180,11,3.5,14,2,8,9,170,0,
"   1 bar, 37 g"
  Almonds,98,8.61,0.66,3.36,2,0.82,3.61,0,0,124
   17 g

"Saturday, April 27, 2024",2562,71.67,30.451,329.73,32.58,62.94,164.13,3494.16,596.15,1826
 Breakfast,548,13.26,4.204,55.14,3.7,18.74,53.62,1145.32,471.41,639
  Great Value Flaked Light Skipjack Tuna,100,0.67,0.33,0,0,0,25,266.72,50.01,
   100 ml
  Dairyland 1% Cottage Cheese,70,0.64,0.32,4.48,0,4.48,10.88,345.6,6.4,128
   80 g
  Egg,144,9.74,3.037,0.75,0,0.75,12.33,137,415,131
   98 g
  Banana,80,0.3,0.101,20.56,2.3,11.01,0.98,1,0,322
   90 g
  White Bread,154,1.91,0.416,29.35,1.4,2.5,4.43,395,0,58
   58 g
 Lunch,1153,27.5,17.858,181.14,10.54,25.53,49.82,1293.12,74.73,146
  Compliments Alfredo Sauce,166,11.44,7.28,10.4,0,4.16,5.2,436.8,36.4,
   130 ml
  Apples,71,0.23,0.038,18.78,3.3,14.13,0.35,1,0,146
   136 g
  Kraft 100% Parmesan Grated Cheese,192,13.42,9.58,0,0,0,15.33,843.26,38.33,
   46 g
  Great Value Spaghetti,724,2.41,0.96,151.96,7.24,7.24,28.94,12.06,0,
   205 g
 Dinner,471,2.28,0.356,70.75,13.64,6.06,45.76,885.72,50.01,874
  Sweet Potato ,125,0.07,0.026,29.17,4.4,6.06,2.28,80,0,489
   145 g
  Great Value Flaked Light Skipjack Tuna,100,0.67,0.33,0,0,0,25,266.72,50.01,
   100 ml
  Compliments Lentils,246,1.54,,41.58,9.24,,18.48,539,,385
   385 g
 Snacks/Other,390,28.63,8.033,22.7,4.7,12.61,14.93,170,0,167
  Novi Fondentenero 72%,77,5.98,3.64,4.16,0,3.51,1.04,0,0,0
   13 g
  Nature Valley Protein Peanut Butter & Dark Chocolate,180,11,3.5,14,2,8,9,170,0,
"   1 bar, 37 g"
  Almonds,133,11.65,0.893,4.54,2.7,1.1,4.89,0,0,167
   23 g

"Sunday, April 28, 2024",2193,77.94,33.338,279.25,21.57,61.57,104.22,2076.98,549.34,1313
 Breakfast,454,15.48,3.999,58.19,5.83,32.94,23.11,691.24,442.6,582
  Mango,135,0.56,0.137,35.19,3.7,30.64,1.06,4,0,323
   1 mango
  Your Fresh Market Roasted Garlic Hummus,47,3.34,0.33,3.34,1.33,0,1.33,80.04,0,
   20 g
  Egg,150,10.14,3.161,0.79,0,0.79,12.83,143,431,137
   102 g
  White Bread,93,1.15,0.251,17.71,0.8,1.51,2.67,238,0,35
   35 g
  Your Fresh Market Oven Roasted Chicken Breast,29,0.29,0.12,1.16,0,0,5.22,226.2,11.6,87
   29 g
 Lunch,836,10.29,6.58,151.96,7.24,7.24,37.94,507.06,22.5,
  Kraft 100% Parmesan Grated Cheese,112,7.88,5.62,0,0,0,9,495,22.5,
   2 1/4 x 2 tbsp (27 g)
  Great Value Spaghetti,724,2.41,0.96,151.96,7.24,7.24,28.94,12.06,0,
   205 g
 Dinner,629,33.81,14.779,49.98,6.5,9.07,32.89,708.68,84.24,731
  Great Value Italian Style Beef Meatballs,442,33.7,14.74,6.32,0,0,29.48,589.68,84.24,
   179 g
  Sweet Potato,187,0.11,0.039,43.66,6.5,9.07,3.41,119,0,731
   217 g
 Snacks/Other,274,18.36,7.98,19.12,2,12.32,10.28,170,0,0
  Novi Fondentenero 72%,94,7.36,4.48,5.12,0,4.32,1.28,0,0,0
   16 g
  Nature Valley Protein Peanut Butter & Dark Chocolate,180,11,3.5,14,2,8,9,170,0,
   1 bar (37 g)

"Monday, April 29, 2024",2247,94.55,40.368,234.82,27.83,58.39,123.45,2498.26,588.46,1305
 Breakfast,436,14.93,3.839,55.66,5.73,32.68,22.41,659.04,427,574
  Your Fresh Market Oven Roasted Chicken Breast,30,0.3,0.12,1.2,0,0,5.4,234,12,90
   30 g
  Egg,144,9.74,3.037,0.75,0,0.75,12.33,137,415,131
   98 g
  Your Fresh Market Roasted Garlic Hummus,47,3.34,0.33,3.34,1.33,0,1.33,80.04,0,
   20 g
  Mango,135,0.56,0.137,35.19,3.7,30.64,1.06,4,0,323
   1 mango
  White Bread,80,0.99,0.215,15.18,0.7,1.29,2.29,204,0,30
   30 g
 Lunch,845,22.54,10.36,105.4,13.6,0,58.73,1003.38,83.34,
  Kraft 100% Parmesan Grated Cheese,167,11.67,8.33,0,0,0,13.33,733.26,33.33,
   40 g
  Great Value Flaked Light Skipjack Tuna,100,0.67,0.33,0,0,0,25,266.72,50.01,
   100 ml
  Quaker Steel Cut Oats (45g),578,10.2,1.7,105.4,13.6,0,20.4,3.4,0,
   153 g
 Dinner,597,31.36,13.709,49.52,6.5,9.07,30.75,665.84,78.12,731
